,file,size(byte),size(B),size(MB),size(GB),atime,mtime,ctime
215,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\83\6163c6c630944ad6d8512555e281ef2195b0d0,128,16.0,2.0,0.25,2022-08-20 19:05:35,2022-08-20 00:20:09,2022-08-20 00:20:09
216,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\83\ab18f96146827df13b8c143f943532e7bb77ff,175,21.9,2.73,0.342,2022-08-30 01:32:31,2022-07-01 02:00:22,2022-07-01 02:00:22
217,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\84\d6ae1d7cf73180df39e575c65cc3a0a3ebb818,202,25.2,3.16,0.395,2022-08-21 09:34:18,2022-08-20 18:12:12,2022-08-20 18:12:12
218,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\85\641b417c0235cac80387c1885cf6df294ffb20,1815,226.9,28.36,3.545,2022-08-20 19:05:35,2022-08-14 12:35:15,2022-08-14 12:35:15
219,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\85\ffb4e637bfc92f626ca49691873035dd6e7702,149,18.6,2.33,0.291,2022-08-20 19:05:35,2022-08-13 18:29:52,2022-08-13 18:29:52
220,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\87\b9a2a499bbe747e8d4af122b4faeeaa7941555,3415,426.9,53.36,6.67,2022-08-28 13:43:28,2022-08-28 11:57:52,2022-08-28 11:57:52
221,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\87\eb4e80bbfbd53e625655e52b713f0334e7e835,201,25.1,3.14,0.393,2022-08-20 19:05:36,2022-08-20 02:15:49,2022-08-20 02:15:49
222,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\88\8a3b83ee84352ff331211033ea14ea016d8483,1910,238.8,29.84,3.73,2022-08-20 19:05:36,2022-08-13 18:29:52,2022-08-13 18:29:52
223,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\88\a2f01094cffed05ac033ae696e6639622ad632,18168,2271.0,283.88,35.484,2022-08-20 19:05:36,2022-08-16 03:37:11,2022-08-16 03:37:11
224,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\88\b4565d837771614b5eee65eb1f0316b9583de7,1714,214.2,26.78,3.348,2022-08-20 19:05:36,2022-07-31 22:57:05,2022-07-31 22:57:05
225,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\88\b8b0e99bc02689045d2496b4da31aa7d1c1a37,149,18.6,2.33,0.291,2022-08-20 19:05:36,2022-08-05 21:14:32,2022-08-05 21:14:32
226,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\89\1a89f8a96028e543174c2eaa2a8667f08a7a20,254,31.8,3.97,0.496,2022-08-20 19:05:36,2022-07-01 02:00:21,2022-07-01 02:00:21
227,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\8b\875862d4a2f8c369ecda776e2002e2a9ff5094,169,21.1,2.64,0.33,2022-08-30 01:32:31,2022-08-15 09:19:55,2022-08-15 09:19:55
228,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\8d\eb6370b7a652bf6e8dce07b4ebce5db2f9f855,1201,150.1,18.77,2.346,2022-08-20 19:05:36,2022-08-15 17:05:49,2022-08-15 17:05:49
229,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\8e\cee75c243d511208cd67877cb3ac48f8a4100d,721,90.1,11.27,1.408,2022-08-20 19:05:36,2022-07-31 09:50:39,2022-07-31 09:50:39
230,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\90\25148a6d2dae299582a00bb57bcb77ee029078,149,18.6,2.33,0.291,2022-08-20 19:05:36,2022-07-31 09:50:39,2022-07-31 09:50:39
231,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\91\147e04e63a710ff8f029ac17e66568e9b0abaf,1625,203.1,25.39,3.174,2022-08-20 19:05:36,2022-07-31 00:18:27,2022-07-31 00:18:27
232,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\91\192a5eabd775aa7be2749b18eed17871b54703,195,24.4,3.05,0.381,2022-08-30 01:32:31,2022-07-31 16:29:56,2022-07-31 16:29:56
233,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\91\39f43092b753298dfd357d326a98a0c965841d,116,14.5,1.81,0.227,2022-08-20 19:05:36,2022-08-14 12:35:15,2022-08-14 12:35:15
234,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\91\98f387c7aa4554f5c54da0b6d4edecb6e4151b,1108,138.5,17.31,2.164,2022-08-26 19:38:34,2022-08-20 00:20:09,2022-08-20 00:20:09
235,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\91\aeef54339a3b3b61c9081feca1cee5a2182bde,2273,284.1,35.52,4.439,2022-08-20 19:05:36,2022-07-30 21:41:52,2022-07-30 21:41:52
236,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\93\a14701b4a8a2afe2228b1b79a9034afef33b52,178,22.2,2.78,0.348,2022-08-30 01:32:31,2022-08-14 14:16:14,2022-08-14 14:16:14
237,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\94\d1f91f2b4f8a5d507b66e3fcb98aeacb4b829a,171,21.4,2.67,0.334,2022-08-20 19:05:36,2022-08-15 17:05:49,2022-08-15 17:05:49
238,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\95\53211349fea9e076d680c3d8aa03174fffe725,168,21.0,2.62,0.328,2022-08-30 01:32:31,2022-08-20 18:12:12,2022-08-20 18:12:12
239,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\96\18e9b8fc26f8e7613228a0d97fcb6717906e0f,255,31.9,3.98,0.498,2022-08-28 09:39:19,2022-08-26 23:45:31,2022-08-26 23:45:31
240,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\96\289d4c071b8824196d02e8d8f4209123e5762a,149,18.6,2.33,0.291,2022-08-20 19:05:36,2022-07-31 09:52:41,2022-07-31 09:52:41
241,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\96\6fd7058f2d09298b8d0891a93478812354f4ff,1857,232.1,29.02,3.627,2022-08-20 19:05:36,2022-08-05 20:47:45,2022-08-05 20:47:45
242,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\96\f377339cd0313f6682c075699b192bcacaf910,149,18.6,2.33,0.291,2022-08-20 19:05:36,2022-08-02 21:12:48,2022-08-02 21:12:48
243,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\97\2418beebd771b0df6104995adf993672de041a,1614,201.8,25.22,3.152,2022-08-20 19:05:36,2022-07-30 21:41:51,2022-07-30 21:41:51
244,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\99\2f260ea240221171421e1cecf30e96f07a4cf6,1448,181.0,22.62,2.828,2022-08-20 19:05:36,2022-07-30 17:23:35,2022-07-30 17:23:35
245,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\99\3ea26c4d1a249d0016d5102d4e16af36ab5683,3577,447.1,55.89,6.986,2022-08-20 19:05:36,2022-08-02 18:16:01,2022-08-02 18:16:01
246,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\99\fdbc607691ae4c9c952f5877bdb630a947a114,149,18.6,2.33,0.291,2022-08-26 23:45:33,2022-08-21 16:41:24,2022-08-21 16:41:24
247,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\9b\b648eeaaefe4da765d5bb70c513e1a61c35746,168,21.0,2.62,0.328,2022-08-30 01:41:38,2022-08-28 16:32:56,2022-08-28 16:32:56
248,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\9b\fe9ba087d58b0d95de34f226979f188af154e8,150,18.8,2.34,0.293,2022-08-20 19:05:36,2022-07-24 15:39:20,2022-07-24 15:39:20
249,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\9d\db8f1e2427086f71cb71a49fc31943ffe84d00,4374,546.8,68.34,8.543,2022-08-20 19:05:36,2022-08-05 20:47:45,2022-08-05 20:47:45
250,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\9d\e1d4a42939defeb5f0c80e0bbc55ac194ae117,2288,286.0,35.75,4.469,2022-08-20 19:05:36,2022-07-31 19:19:15,2022-07-31 01:16:49
251,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\9e\125f9c66852fb8e08d2bf0f7e9b8a48fd319c7,183,22.9,2.86,0.357,2022-08-30 01:32:31,2022-07-30 17:26:41,2022-07-30 17:26:41
252,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\9f\2dc85d788143d54bc293a2ef69a1238ef59b6b,168,21.0,2.62,0.328,2022-08-30 01:32:31,2022-08-28 13:43:25,2022-08-28 13:43:25
253,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\a0\09a863d6b2771b15d8d80667e2558a1efcda86,114,14.2,1.78,0.223,2022-08-20 19:05:37,2022-08-05 20:47:45,2022-08-05 20:47:45
254,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\a0\15ae7ce9c7163b7a10c3aacc22f2f209142dc5,199,24.9,3.11,0.389,2022-08-30 01:32:31,2022-07-29 20:41:30,2022-07-29 20:41:30
255,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\a0\f36302eec65ffbe261e096efe855a6272bc57e,992,124.0,15.5,1.938,2022-08-20 19:05:37,2022-07-31 20:16:22,2022-07-31 20:16:22
256,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\a1\83712303160e0dfe1aff4baadee77f20ac0ce9,176,22.0,2.75,0.344,2022-08-30 01:32:31,2022-08-27 01:14:19,2022-08-27 01:14:19
257,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\a1\a9e9b41c225b46ac88bb100b734a848965745d,51,6.4,0.8,0.1,2022-08-20 19:05:37,2022-07-29 20:41:30,2022-07-29 20:41:30
258,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\a2\82bd96162467514d6e22dfc5033ed90f792daf,149,18.6,2.33,0.291,2022-08-20 19:05:37,2022-07-30 17:23:35,2022-07-30 17:23:35
259,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\a5\649b29cba001b86f68ca89c65b62adc05ccdfe,149,18.6,2.33,0.291,2022-08-20 19:05:37,2022-07-31 22:57:05,2022-07-31 22:57:05
260,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\a6\16ec48b7dc1384bcd9e130d892599948c609a2,7341,917.6,114.7,14.338,2022-08-30 00:44:15,2022-08-19 20:04:18,2022-08-19 20:04:18
261,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\a6\247f2375e1adf3529d8d051d03cceb1bc5116f,1485,185.6,23.2,2.9,2022-08-20 19:05:37,2022-08-12 21:13:22,2022-08-12 21:13:22
262,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\a6\93ae0af3909e983ea293710f0e8e35e7e89e04,170,21.2,2.66,0.332,2022-08-30 01:32:31,2022-08-15 13:42:08,2022-08-15 13:42:08
263,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\a7\70a7dd12df81b003a9829fb3d028aa7cf1332a,174,21.8,2.72,0.34,2022-08-30 01:32:31,2022-08-20 00:20:09,2022-08-20 00:20:09
264,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\a8\118040361fc7f33990a07b55b6d23c3e506e19,84,10.5,1.31,0.164,2022-08-20 19:05:37,2022-08-20 00:20:09,2022-08-20 00:20:09
265,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\a8\1940f3cab20055ff7171a2b12eaa6e55b46172,7044,880.5,110.06,13.758,2022-08-20 19:05:37,2022-08-15 17:05:48,2022-08-15 17:05:48
266,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\a8\ae48165edcaf46cc6625741f965bb7db98d2a2,192,24.0,3.0,0.375,2022-08-30 01:32:31,2022-08-05 19:03:49,2022-08-05 19:03:49
267,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\a8\b7cc79143dd919a6b38f3d787a6d11a2788c7c,106,13.2,1.66,0.207,2022-08-27 01:17:11,2022-08-26 23:45:30,2022-08-26 23:45:30
268,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\a8\d6dac2bbb110cbc7d20f61e053d9b32328e3c3,149,18.6,2.33,0.291,2022-08-20 19:05:37,2022-08-08 16:45:35,2022-08-08 16:43:10
269,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\a9\64db1caa468cf9eef5afbcbd9518d720cd1b94,1192,149.0,18.62,2.328,2022-08-20 19:05:37,2022-08-06 00:51:51,2022-08-06 00:51:51
270,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\a9\be06b7be8adf5e9a218ad365cfa9c922806931,133,16.6,2.08,0.26,2022-08-20 19:05:37,2022-08-20 00:20:09,2022-08-20 00:20:09
271,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\aa\0476ad7922fd8ca442c92c0c37ae428b3c55cd,149,18.6,2.33,0.291,2022-08-20 19:05:37,2022-07-24 15:37:00,2022-07-24 15:37:00
272,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\aa\f61a5dabfb4a45fa835e01fa06e162cc2afe1a,179,22.4,2.8,0.35,2022-08-30 01:32:31,2022-08-19 20:04:18,2022-08-19 20:04:18
273,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\ab\0205ee9243f49c508187009a7aa7778d47b914,201,25.1,3.14,0.393,2022-08-26 18:37:36,2022-08-21 11:50:18,2022-08-21 11:50:18
274,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\ab\639607347e6a6a470de9f19d69e37e5eb6f903,122,15.2,1.91,0.238,2022-08-20 19:05:37,2022-07-31 00:18:28,2022-07-31 00:18:28
275,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\ab\b1f7e692acf304de2a077bc378f5f6adbcd2c9,115,14.4,1.8,0.225,2022-08-20 19:05:37,2022-08-14 16:50:16,2022-08-14 16:50:16
276,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\ad\35e5ae34d7df6d469bfe65dbfcefe988e0169f,37,4.6,0.58,0.072,2022-08-20 19:05:37,2022-08-19 18:50:33,2022-08-19 18:50:33
277,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\ad\64f5b6ecef7092c668c03f422bdf751ff82e3d,202,25.2,3.16,0.395,2022-08-20 19:05:37,2022-08-19 20:04:18,2022-08-19 20:04:18
278,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\ad\6639bb2cfeb756bd97e476bcdc032669b86d3b,3641,455.1,56.89,7.111,2022-08-21 11:50:20,2022-08-20 18:23:07,2022-08-20 18:23:07
279,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\ae\fc109c2613ee2c3b83bf5b8f4927927229593e,150,18.8,2.34,0.293,2022-08-20 19:05:37,2022-07-30 17:26:29,2022-07-30 17:26:29
280,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\af\a0931c199682db7a82171059b1752912fa9b6f,176,22.0,2.75,0.344,2022-08-30 01:32:31,2022-08-21 11:50:18,2022-08-21 11:50:18
281,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\b3\13a9b3857fd3c1bf455da40de6fb14ebc69f6d,1436,179.5,22.44,2.805,2022-08-20 19:05:37,2022-07-30 17:26:40,2022-07-30 17:26:40
282,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\b3\4707c65f306240452dde58b9f3d13619b6673c,149,18.6,2.33,0.291,2022-08-21 11:50:20,2022-08-20 18:23:08,2022-08-20 18:23:08
283,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\b3\f3429f1c7b2d438fed354cedb6dd5473e67789,173,21.6,2.7,0.338,2022-08-30 01:32:31,2022-08-13 18:29:52,2022-08-13 18:29:52
284,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\b5\198c4e5dfbb74b9cf144ef5362e0e103bb30d5,2112,264.0,33.0,4.125,2022-08-20 19:05:37,2022-08-14 11:44:17,2022-08-14 11:44:17
285,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\b5\c0dd171f4512007ae4eb932494acb8115883ff,3056,382.0,47.75,5.969,2022-08-20 19:05:37,2022-07-31 19:19:15,2022-07-31 19:19:15
286,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\b7\0cb598379b22d9af9cc1851e550aa44b384bcc,149,18.6,2.33,0.291,2022-08-20 19:05:37,2022-07-30 17:22:44,2022-07-30 17:22:44
287,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\b7\5d85ac59f1eee541bc984669f003f88ba9528b,6868,858.5,107.31,13.414,2022-08-20 19:05:37,2022-08-14 16:44:36,2022-08-14 16:44:36
288,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\b8\2de886e2311629dadfd79f65b6e71c17a4e806,722,90.2,11.28,1.41,2022-08-20 19:05:37,2022-07-31 09:51:01,2022-07-31 09:51:01
289,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\b9\71bbf269f413870392cb83e0fa8edab9071b16,166,20.8,2.59,0.324,2022-08-20 19:05:37,2022-08-15 17:05:49,2022-08-15 17:05:49
290,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\b9\c335cc380c170f8f1abc3a2b0bbcf07fabef4b,1846,230.8,28.84,3.605,2022-08-20 19:05:37,2022-08-02 21:12:48,2022-08-02 21:12:48
291,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\b9\ef03aea1bf6b54ca60a20a1c32da5d029c4c05,182,22.8,2.84,0.355,2022-08-30 01:32:31,2022-08-05 21:14:32,2022-08-05 21:14:32
292,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\ba\033e738acd92f3350c2011da06f2c22529cba9,115,14.4,1.8,0.225,2022-08-20 19:05:38,2022-08-15 09:19:55,2022-08-15 09:19:55
293,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\ba\4bc286bb8f646cbde2f5fe79409e8c675f1d6f,1340,167.5,20.94,2.617,2022-08-20 19:05:38,2022-08-05 21:14:32,2022-08-05 21:14:32
294,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\ba\e6e8c55d3fffdb3a9ebeb915887ae95c7b8e6e,182,22.8,2.84,0.355,2022-08-30 01:32:31,2022-07-31 20:16:23,2022-07-31 20:16:23
295,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\ba\e9fa2a5f553b8e272f17f3507fc2e726f241af,1307,163.4,20.42,2.553,2022-08-20 19:05:38,2022-07-29 20:41:30,2022-07-29 20:41:30
296,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\bb\b7d1cd02cb4e0f65a0d7c09a08f362fcbcef4e,149,18.6,2.33,0.291,2022-08-20 19:05:38,2022-07-29 21:27:50,2022-07-29 21:27:50
297,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\bd\fc1e34e6374d950a9bb3d818c0baf21cf51309,172,21.5,2.69,0.336,2022-08-30 01:32:31,2022-08-20 02:15:49,2022-08-20 02:15:49
298,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\be\c1f89800911d4768ccc7b590fb2b50b84e1345,149,18.6,2.33,0.291,2022-08-20 19:05:38,2022-07-31 19:19:15,2022-07-31 19:19:15
299,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\be\fd7a67249bc711d4be0451fbed0249ae9ce171,159,19.9,2.48,0.311,2022-08-20 19:05:38,2022-08-20 00:20:09,2022-08-20 00:20:09
300,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\bf\8fa174f6335fbecc1f1e4a915b10cc65adf34c,2177,272.1,34.02,4.252,2022-08-20 19:05:38,2022-08-15 09:19:54,2022-08-15 09:19:54
301,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\c2\c55cac4eab5fb22f554704baa99ef7f40ba438,181,22.6,2.83,0.354,2022-08-30 01:32:31,2022-08-12 21:13:22,2022-08-12 21:13:22
302,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\c3\724775da091e2dc8146d9a3b5529c0c3de74bd,2275,284.4,35.55,4.443,2022-08-20 19:05:38,2022-08-16 03:56:58,2022-08-16 03:56:58
303,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\c4\99210e1721341029d613b5be411712afa9ef4c,3545,443.1,55.39,6.924,2022-08-20 19:05:38,2022-08-19 20:16:03,2022-08-19 20:16:03
304,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\c5\bb98b01a1eee64618557772d1b3544db934388,992,124.0,15.5,1.938,2022-08-20 19:05:38,2022-07-31 20:13:37,2022-07-31 20:13:37
305,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\c7\07fac85f23e4cfa9d77abd76c2f75e5c83a41e,185,23.1,2.89,0.361,2022-08-30 01:32:31,2022-07-31 01:16:49,2022-07-31 01:16:49
306,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\ca\be0cef8b1b8220b47fbcb0701e04117185793b,162,20.2,2.53,0.316,2022-08-20 19:05:38,2022-08-20 00:20:09,2022-08-20 00:20:09
307,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\cb\08db35cecb72c1268e7ab82d0c22b6cec46378,186,23.2,2.91,0.363,2022-08-30 01:32:31,2022-08-03 14:11:57,2022-08-03 14:11:57
308,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\cd\8e7f5dc8f2c70f290b6db72a4c5619cc18dce9,122,15.2,1.91,0.238,2022-08-20 19:05:38,2022-07-31 16:29:56,2022-07-31 16:29:56
309,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\cd\d8ae6ba671bf9931e364cce9cbb70e5983bcac,7332,916.5,114.56,14.32,2022-08-20 19:05:38,2022-08-16 03:37:11,2022-08-16 03:37:11
310,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\cf\c86391717e4c7e767677828fbb51fbd081739f,2936,367.0,45.88,5.734,2022-08-20 19:05:38,2022-07-29 20:41:30,2022-07-29 20:41:30
311,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\cf\ff91ffdd5c18c949193e26893a8c9902a017c5,114,14.2,1.78,0.223,2022-08-20 19:05:38,2022-08-05 21:14:32,2022-08-05 21:14:32
312,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\d1\0990ffc02fed5850cf952920498b5f809a1a5c,1027,128.4,16.05,2.006,2022-08-20 19:05:38,2022-08-02 18:16:01,2022-08-02 18:16:01
313,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\d1\8ea3ca229ef27feee9a3eb65a2e67f5dfd88fe,149,18.6,2.33,0.291,2022-08-20 19:05:38,2022-07-31 00:18:28,2022-07-31 00:18:28
314,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\d3\cafc034b1478b3a1ceb0d5d0fa99a6fe2f5da9,148,18.5,2.31,0.289,2022-08-20 19:05:38,2022-08-02 19:07:27,2022-08-02 19:07:27
315,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\d4\460c430eb1bf537d9d73b42ae77a91b14a636b,149,18.6,2.33,0.291,2022-08-20 19:05:38,2022-08-02 19:13:04,2022-08-02 19:13:04
316,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\d5\3d4d5a60ca483d9cc69283eb69b33c6e199030,2165,270.6,33.83,4.229,2022-08-20 19:05:38,2022-08-15 13:42:08,2022-08-15 13:42:08
317,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\d5\87b458ed8473c0251f11040a15d1f12006274c,114,14.2,1.78,0.223,2022-08-20 19:05:38,2022-08-02 14:50:48,2022-08-02 14:50:48
318,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\d6\72ea07c4725bbad621361be2b100e904c85c6f,1722,215.2,26.91,3.363,2022-08-20 19:05:38,2022-07-31 22:14:43,2022-07-31 22:14:43
319,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\d6\73e416f07f129beee07e1ce8b296382c357b89,190,23.8,2.97,0.371,2022-08-30 01:32:31,2022-08-02 19:07:27,2022-08-02 19:07:27
