,file,size(byte),size(B),size(MB),size(GB),atime,mtime,ctime
85,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\2e\f3d3baff42066670797b1ead91f9d80b504bef,174,21.8,2.72,0.34,2022-08-30 01:32:31,2022-08-14 11:58:28,2022-08-14 11:58:28
86,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\2f\42fdf45f17eaa448bb75b00cf128a1c84adb68,149,18.6,2.33,0.291,2022-08-20 19:05:32,2022-07-31 22:14:43,2022-07-31 22:14:43
87,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\2f\a181d8754f17b45db8772788e48a151414c530,114,14.2,1.78,0.223,2022-08-20 19:05:32,2022-08-02 18:16:01,2022-08-02 18:16:01
88,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\30\aba3f3b56cb550c4b58d1986d34f4f45552f0e,149,18.6,2.33,0.291,2022-08-20 19:05:32,2022-07-30 17:26:41,2022-07-30 17:26:41
89,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\30\f9c2e2996944bbdd49b99a7a0905ba77265550,1836,229.5,28.69,3.586,2022-08-20 19:05:32,2022-08-05 21:33:08,2022-08-05 21:33:08
90,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\31\d54f3f55485ea1bc18cf93d81700171f25a325,150,18.8,2.34,0.293,2022-08-20 19:05:32,2022-08-14 21:44:19,2022-08-14 21:44:19
91,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\32\092369b3e26437e0b843cb4312ad3dad2cf13e,540,67.5,8.44,1.055,2022-08-20 19:05:32,2022-08-15 17:05:49,2022-08-15 17:05:49
92,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\32\580a394b13c0e2dd7d3c8c884d1a1e8d7f969b,149,18.6,2.33,0.291,2022-08-30 00:31:10,2022-08-28 15:55:44,2022-08-28 15:55:44
93,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\34\aae4f28da13c9df54e9f751e131a8b5247b643,4530,566.2,70.78,8.848,2022-08-20 19:05:32,2022-08-08 16:45:34,2022-08-08 16:43:10
94,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\34\da29e0f1e0ffcf3f636154c66805a06929a641,2205,275.6,34.45,4.307,2022-08-20 19:05:32,2022-08-14 16:44:36,2022-08-14 16:44:36
95,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\35\23c4a36762e45bee8c393721a3232b067b61dd,3636,454.5,56.81,7.102,2022-08-20 19:05:32,2022-08-03 14:11:57,2022-08-03 14:11:57
96,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\35\805026415567afd5b5ce4a79fef8cb20271269,201,25.1,3.14,0.393,2022-08-30 01:32:31,2022-07-31 20:13:37,2022-07-31 20:13:37
97,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\36\30842fb6824a85d1d85e684bf309c7ce551915,2284,285.5,35.69,4.461,2022-08-20 19:05:32,2022-07-31 00:18:28,2022-07-31 00:18:28
98,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\36\c8662550044012755816899bc5b40e85b28827,114,14.2,1.78,0.223,2022-08-20 19:05:32,2022-07-31 20:13:37,2022-07-31 20:13:37
99,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\37\35e5877b8ab9aab66ecc21f5e9ec928261dd71,1443,180.4,22.55,2.818,2022-08-20 19:05:32,2022-07-30 18:39:58,2022-07-30 18:39:58
100,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\37\94b31fd865ab64d5b09b078bf21e00e96e688c,1180,147.5,18.44,2.305,2022-08-20 19:05:33,2022-08-05 19:03:49,2022-08-05 19:03:49
101,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\38\a09dd85d3bcfc4f1820fec012c890c0ca737a0,115,14.4,1.8,0.225,2022-08-20 19:05:33,2022-08-14 16:44:36,2022-08-14 16:44:36
102,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\38\fcda499c4ecc1bc687abc2c99fc1b4cec07bc2,91,11.4,1.42,0.178,2022-08-20 19:05:33,2022-07-30 17:26:29,2022-07-30 17:26:29
103,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\39\2f331d2c92b4182085a90647c6dcd2df99ccac,183,22.9,2.86,0.357,2022-08-30 01:32:31,2022-07-30 17:23:35,2022-07-30 17:23:35
104,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\3b\38de12ff8749405ecd96c2e112b2b050982b99,114,14.2,1.78,0.223,2022-08-20 19:05:33,2022-08-05 21:33:09,2022-08-05 21:33:09
105,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\3c\ad39a00c0dd83d16f227c56061d03f19393486,2926,365.8,45.72,5.715,2022-08-20 19:05:33,2022-07-24 15:37:00,2022-07-24 15:37:00
106,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\3d\8525f01e264722d8909e06202d507deb75dfd3,1775,221.9,27.73,3.467,2022-08-20 19:05:33,2022-08-02 19:05:10,2022-08-02 19:05:10
107,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\3e\4f167b21cf19347e0875f7784f0987313ba9d4,1855,231.9,28.98,3.623,2022-08-20 19:05:33,2022-08-05 21:07:56,2022-08-05 21:07:56
108,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\3f\5967eb14b22d64a1d0e4f192a8b5a762eeb31e,171,21.4,2.67,0.334,2022-08-30 01:32:31,2022-08-14 16:44:36,2022-08-14 16:44:36
