,file,size(byte),size(MB),size(GB),atime,mtime,ctime
43,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\16\0fdb3df450e39ff1e9e8884b0851914eb347de,149,0,0,2022-08-20 19:05:32,2022-07-31 16:29:56,2022-07-31 16:29:56
44,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\16\b3c138c89f3602a71742827034f9416431764c,148,0,0,2022-08-20 19:05:32,2022-08-02 18:16:01,2022-08-02 18:16:01
45,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\16\ded7d9cd7ac52409c1bba6dacc09e135573f62,295,0,0,2022-08-20 19:05:32,2022-08-20 02:15:49,2022-08-20 02:15:49
46,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\17\d60e8c2d86075109acae080d99572ac4cec5a4,1537,0,0,2022-08-20 19:05:32,2022-08-13 18:04:08,2022-08-13 18:04:08
47,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\18\9fbe7a4d9c61425c142eb0e77e8e56edb5abc5,1223,0,0,2022-08-20 19:05:32,2022-07-29 21:27:50,2022-07-29 21:27:50
48,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\18\dc8ff30fb5076cdb80f39e9064ddaec43a1a08,3515,0,0,2022-08-28 16:32:59,2022-08-28 13:43:25,2022-08-28 13:43:25
49,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\1a\bf84fce1b93c44ed104937cb1556964b3985ea,134,0,0,2022-08-20 19:05:32,2022-07-31 22:14:43,2022-07-31 22:14:43
50,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\1b\668090e6763e00327b98df2346483e5c30b1c9,149,0,0,2022-08-20 19:05:32,2022-08-14 12:36:03,2022-08-14 12:36:03
51,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\1b\97a894e3ce0e334a27a6409bf51bf69ecd787c,1850,0,0,2022-08-20 19:05:32,2022-08-05 21:14:32,2022-08-05 21:14:32
52,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\1c\018f8df93c883605b92c3c5b92d7671b1f09e5,1860,0,0,2022-08-20 19:05:32,2022-08-13 18:04:08,2022-08-13 18:04:08
